PC,explained_variance,explained_variance_ratio
PC1,2181.8811616630287,0.5673143427027004
PC2,639.079720996784,0.1661681205293387
PC3,255.76884582013432,0.06650285872567031
PC4,171.87832507644183,0.044690352861042774
PC5,151.9836708571516,0.03951751261656696
PC6,112.95256627165948,0.02936897390055298
PC7,64.1422973238671,0.016677739321968976
PC8,53.23288018431696,0.013841164662203293
PC9,22.560026557368207,0.005865867886220578
PC10,16.4186539750826,0.004269039969545146
PC11,13.450223653606693,0.003497213746249236
PC12,11.065461423773996,0.002877147978832015
PC13,10.86508565982929,0.0028250479621981127
PC14,8.838547651418686,0.0022981246363982725
PC15,8.307127024707857,0.0021599491258166965
PC16,7.045272619373346,0.0018318523829110379
PC17,6.743989735711158,0.0017535153478260876
PC18,6.5486281707229335,0.0017027190809266613
PC19,5.79582731171606,0.0015069821489537044
PC20,5.270124499349766,0.001370293336247137
