gene,mean_SafeHarbor_0h,mean_RHOG_0h,log2_fc,pval,pval_adj
ENSG00000223972,0.02501471905216331,0.08611855756868082,0.06110383851651752,0.1538612451888714,0.9034298627891024
ENSG00000227232,2.5228801857956973,2.776108672964403,0.25322848716870583,0.3587058868630718,0.9034298627891024
ENSG00000278267,0.24237989152087866,0.24264634474526425,0.00026645322438559327,0.9976458305059634,0.9995577619557641
ENSG00000243485,0.0,0.03698231389774181,0.03698231389774181,0.36321746764912255,0.9034298627891024
ENSG00000284332,0.0,0.0,0.0,,
ENSG00000237613,0.0,0.0,0.0,,
ENSG00000268020,0.0,0.0,0.0,,
ENSG00000240361,0.0,0.0,0.0,,
ENSG00000186092,0.0,0.0,0.0,,
ENSG00000238009,0.03701270872072963,0.04387121351151654,0.0068585047907869096,0.8199855382178478,0.9985130887429453
ENSG00000239945,0.0,0.0,0.0,,
ENSG00000233750,0.0,0.0,0.0,,
ENSG00000268903,0.7213653611019684,0.8281980609417304,0.10683269983976207,0.7044449953925104,0.9817225506466937
ENSG00000269981,0.5335210474413729,0.5871100923755826,0.053589044934209795,0.7847691249735732,0.9919029966852342
ENSG00000239906,0.01436520051232111,0.0,-0.01436520051232111,0.17538800523659676,0.9034298627891024
ENSG00000241860,0.1747174045394512,0.1794500130533051,0.004732608513853903,0.9604904207878999,0.9995563239457352
ENSG00000222623,0.0,0.0,0.0,,
ENSG00000241599,0.0,0.0,0.0,,
ENSG00000279928,0.26546127594401375,0.19499129812821347,-0.07046997781580028,0.5731450897875423,0.9711110289540845
ENSG00000279457,3.285895433554485,3.285568818220671,-0.0003266153338143951,0.998148329547268,0.9996438964248962
ENSG00000273874,0.0,0.0,0.0,,
ENSG00000228463,0.16043652209628745,0.2533607513620066,0.09292422926571914,0.34643085581936534,0.9034298627891024
ENSG00000286448,0.0,0.0,0.0,,
ENSG00000236679,0.0,0.006623363297471992,0.006623363297471992,0.36321746764912255,0.9034298627891024
ENSG00000236601,0.0,0.0,0.0,,
ENSG00000237094,0.7423313690132294,0.7461627329959075,0.0038313639826781376,0.9801478402373272,0.9995563239457352
ENSG00000269732,0.0,0.0,0.0,,
ENSG00000284733,0.0,0.0,0.0,,
ENSG00000233653,0.0,0.0,0.0,,
ENSG00000250575,0.016667366354909334,0.0,-0.016667366354909334,0.1758471768735453,0.9034298627891024
ENSG00000278757,0.0,0.0,0.0,,
ENSG00000230021,0.3179322735878754,0.3700307464090804,0.052098472821205,0.5605217867158633,0.969552101760272
ENSG00000235146,0.0,0.0,0.0,,
ENSG00000225972,1.166833196667528,1.071552121788493,-0.09528107487903514,0.5919956345928261,0.9725449783474592
ENSG00000225630,5.292453636256715,5.261085087725131,-0.03136854853158422,0.6241318130281919,0.9768853243475332
ENSG00000237973,4.844032534044046,4.797168881222537,-0.04686365282150895,0.7202733972728819,0.9830630092625964
ENSG00000278791,0.007550765921678553,0.020581779776282578,0.013031013854604024,0.43833264731868726,0.939447590577078
ENSG00000229344,3.4726685006076417,3.317373156722139,-0.15529534388550248,0.38885383167966403,0.9179597713190929
ENSG00000240409,0.033719800069075025,0.0,-0.033719800069075025,0.36321746764912255,0.9034298627891024
ENSG00000248527,7.649892132726769,7.562229252374213,-0.0876628803525552,0.11326871606473002,0.9034298627891024
ENSG00000198744,2.5838079268003047,2.4816198608343414,-0.1021880659659633,0.495137065319739,0.95759390204651
ENSG00000268663,0.0,0.0,0.0,,
ENSG00000284662,0.0,0.0,0.0,,
ENSG00000229376,0.0,0.0,0.0,,
ENSG00000228327,2.5313639611389718,2.6437816567320205,0.1124176955930487,0.31037598560560153,0.9034298627891024
ENSG00000223181,0.0,0.0,0.0,,
ENSG00000229905,0.0,0.0,0.0,,
ENSG00000237491,1.3213792876535924,1.3203961510406208,-0.000983136612971558,0.9929814559779513,0.9995563239457352
ENSG00000285268,0.0,0.0,0.0,,
ENSG00000230092,0.8350331917302888,0.9741568023300867,0.13912361059979794,0.1532792233228352,0.9034298627891024
ENSG00000177757,0.007564208532773173,0.015283746035396527,0.007719537502623354,0.5444539123897563,0.9674278562525037
ENSG00000228794,3.661359354903587,3.7098492500306506,0.04848989512706359,0.5193326029317761,0.9633614150822309
ENSG00000225880,1.145958806989983,1.2808003778822903,0.1348415708923072,0.20518970163465816,0.9034298627891024
ENSG00000288531,0.0,0.019346665919207525,0.019346665919207525,0.36321746764912255,0.9034298627891024
ENSG00000230368,0.007783837775985433,0.0,-0.007783837775985433,0.36321746764912255,0.9034298627891024
ENSG00000234711,0.0,0.0,0.0,,
ENSG00000283040,0.0,0.0,0.0,,
ENSG00000272438,0.0,0.007865526125047801,0.007865526125047801,0.36321746764912255,0.9034298627891024
ENSG00000230699,0.02281471627433875,0.0,-0.02281471627433875,0.07564860910387411,0.9034298627891024
ENSG00000241180,0.0,0.0,0.0,,
ENSG00000223764,0.0,0.0,0.0,,
ENSG00000187634,0.031168824943334988,0.055410331568146065,0.024241506624811077,0.3600220763927834,0.9034298627891024
ENSG00000188976,6.821832719820258,6.713011342245053,-0.1088213775752056,0.0909666437638448,0.9034298627891024
ENSG00000187961,4.752030074592032,4.772025881023288,0.019995806431256646,0.8757378594034352,0.9995563239457352
ENSG00000187583,1.1893063655500662,1.3553375752457022,0.166031209695636,0.6224030805587875,0.9768853243475332
ENSG00000187642,0.0,0.006895664671306069,0.006895664671306069,0.36321746764912255,0.9034298627891024
ENSG00000272512,0.02265545637586382,0.021017294296480294,-0.001638162079383526,0.9389596088463186,0.9995563239457352
ENSG00000188290,0.19835132556374524,0.1429613586622482,-0.05538996690149703,0.2993499613851824,0.9034298627891024
ENSG00000187608,5.407626531662352,5.359705475405153,-0.04792105625719856,0.6535447373733176,0.9787905361577823
ENSG00000231702,0.16768845463072343,0.1709416142145507,0.0032531595838272698,0.9547004541081365,0.9995563239457352
ENSG00000224969,0.12000896789179055,0.17056969049337714,0.05056072260158659,0.3094440709600503,0.9034298627891024
ENSG00000188157,3.977940899406633,4.110474038770611,0.1325331393639777,0.5923647951393649,0.9725449783474592
ENSG00000242590,0.0,0.0,0.0,,
ENSG00000217801,4.424391803119961,4.7859302740872645,0.36153847096730374,0.432631164618385,0.9374242714300957
ENSG00000273443,0.46606343706581344,0.4416464774101822,-0.024416959655631232,0.8800594254294632,0.9995563239457352
ENSG00000237330,0.0,0.014805945452800298,0.014805945452800298,0.1757277266098307,0.9034298627891024
ENSG00000131591,4.577340178786348,4.592230878912566,0.014890700126217737,0.8688908586374464,0.9995563239457352
ENSG00000285812,0.0220141241848674,0.008710232394345012,-0.013303891790522387,0.5929111270470181,0.9725449783474592
ENSG00000223823,0.0,0.0069404193277524985,0.0069404193277524985,0.36321746764912255,0.9034298627891024
ENSG00000207730,0.0,0.007418219910348726,0.007418219910348726,0.36321746764912255,0.9034298627891024
ENSG00000207607,0.007783837775985433,0.0,-0.007783837775985433,0.36321746764912255,0.9034298627891024
ENSG00000198976,0.0,0.0069404193277524985,0.0069404193277524985,0.36321746764912255,0.9034298627891024
ENSG00000272141,0.007550765921678553,0.02053949371388407,0.012988727792205515,0.4381717119821573,0.939447590577078
ENSG00000205231,0.0068144345906425595,0.006895664671306069,8.123008066350957e-05,0.9934795564698835,0.9995563239457352
ENSG00000162571,0.03670980901818979,0.10299675452221925,0.06628694550402946,0.10653924138561548,0.9034298627891024
ENSG00000186891,4.702915509087485,4.245681213262862,-0.45723429582462316,0.468710347577866,0.9510662969694985
ENSG00000186827,3.630856969955648,3.3217274712192064,-0.30912949873644147,0.6930460192643841,0.9817225506466937
ENSG00000078808,7.5857058067350005,7.546883382986668,-0.03882242374833211,0.4298067051145058,0.9359622847293263
ENSG00000176022,5.024278714845823,4.970841816718828,-0.05343689812699548,0.3535587104594765,0.9034298627891024
ENSG00000184163,0.945803896174632,0.8874918049955406,-0.05831209117909142,0.6973135326647617,0.9817225506466937
ENSG00000260179,0.6452643441301852,0.4962436387355719,-0.14902070539461326,0.18780737526671504,0.9034298627891024
ENSG00000160087,6.175385196688577,6.194111852858371,0.018726656169794076,0.6130509003024585,0.9760711795942952
ENSG00000230415,0.8231454933266299,0.995117383828008,0.17197189050137807,0.24373013466781657,0.9034298627891024
ENSG00000162572,2.809279524281644,2.7555567251650035,-0.05372279911664046,0.7514507216326941,0.9874058307599691
ENSG00000131584,6.844194276820161,6.905538831913571,0.061344555093409525,0.5439885675861823,0.9674278562525037
ENSG00000278073,0.0,0.0,0.0,,
ENSG00000169972,3.8294909408372946,3.8822191682304052,0.05272822739311067,0.5197653340788824,0.9633614150822309
ENSG00000127054,6.781106558106894,6.821447187858381,0.040340629751487,0.12316590337720715,0.9034298627891024
ENSG00000283712,0.0,0.0,0.0,,
ENSG00000240731,1.4476434399345088,1.4449938324645817,-0.002649607469927151,0.9807300202203182,0.9995563239457352
ENSG00000224051,4.913233602744414,5.034289801681262,0.12105619893684771,0.29608567192281793,0.9034298627891024
ENSG00000169962,1.4084245567632176,1.4984708459221048,0.09004628915888713,0.29539557984410847,0.9034298627891024
ENSG00000107404,5.7229935020204055,5.845007583812059,0.12201408179165352,0.10477474976865142,0.9034298627891024
ENSG00000284372,0.0,0.0,0.0,,
ENSG00000162576,1.5440046477282607,1.9871709753466984,0.44316632761843766,0.2585876872349007,0.9034298627891024
ENSG00000175756,6.563827490470594,6.4842075292118535,-0.07961996125874027,0.1803570975584418,0.9034298627891024
ENSG00000223663,0.08216932374122478,0.050184413287575814,-0.031984910453648964,0.4121459292309138,0.9280521756316361
ENSG00000221978,6.987191729422807,7.083289474416708,0.09609774499390156,0.5903903015758685,0.9725449783474592
ENSG00000224870,4.5787448429238395,4.631840737543888,0.053095894620048156,0.6180387811536547,0.9760711795942952
ENSG00000242485,5.78976638864994,5.662937352587517,-0.12682903606242313,0.06335928866987135,0.9034298627891024
ENSG00000264293,0.0,0.0,0.0,,
ENSG00000272455,1.0611493819013516,0.9875167248092432,-0.07363265709210831,0.45016200347365243,0.9433796437851543
ENSG00000235098,0.01569796316956646,0.0,-0.01569796316956646,0.17929208751022307,0.9034298627891024
ENSG00000225905,0.0,0.0,0.0,,
ENSG00000205116,0.0,0.0,0.0,,
ENSG00000225285,0.0,0.006623363297471992,0.006623363297471992,0.36321746764912255,0.9034298627891024
ENSG00000179403,0.42258326773965865,0.3845081123597652,-0.03807515537989348,0.6755646689516217,0.9794928193832164
ENSG00000215915,0.8468845680021504,0.7652536382098839,-0.0816309297922665,0.6606103849038237,0.9790748336151173
ENSG00000160072,5.654430240826005,5.58422440146693,-0.0702058393590752,0.10018145490058078,0.9034298627891024
ENSG00000284740,0.19019484760928593,0.22339473120793285,0.03319988359864692,0.5968123489754659,0.9726717698487655
ENSG00000197785,5.593254796604512,5.496553274989853,-0.09670152161465939,0.34623940636279293,0.9034298627891024
ENSG00000205090,0.33059585870868835,0.43376596697265835,0.10317010826397,0.3005505065093766,0.9034298627891024
ENSG00000160075,7.040545861821184,7.0362949292412695,-0.00425093257991449,0.9213973936532697,0.9995563239457352
ENSG00000215014,0.47668845168368,0.5531964582009067,0.07650800651722667,0.2852273515904411,0.9034298627891024
ENSG00000274481,0.0,0.0,0.0,,
ENSG00000228594,3.408007753034602,3.5273810207867586,0.11937326775215684,0.7017273327225073,0.9817225506466937
ENSG00000286989,1.9156127830400225,2.0149001458101776,0.09928736277015515,0.8466039757736621,0.9995563239457352
ENSG00000272106,2.8644263163196606,2.891139057237423,0.026712740917762545,0.8922561848392139,0.9995563239457352
ENSG00000197530,5.278998355489772,5.4208943439079,0.14189598841812767,0.3821488016123158,0.9155107052056235
ENSG00000189409,0.1723333311443541,0.1838427050494407,0.011509373905086606,0.8790412616063014,0.9995563239457352
ENSG00000248333,6.385073258141524,6.406294345336878,0.02122108719535376,0.6276645352061264,0.9768853243475332
ENSG00000272004,0.39308680352359465,0.3719759515603199,-0.02111085196327478,0.8057685024057684,0.9953043669719696
ENSG00000189339,6.86152362627585,7.044377365973907,0.18285373969805718,0.43947327940755176,0.9398011295915625
ENSG00000269737,0.10974887450309001,0.07837742734360127,-0.03137144715948874,0.5183984719018657,0.9633614150822309
ENSG00000215914,0.2145923909827795,0.22068220674559544,0.006089815762815948,0.9465837613014656,0.9995563239457352
ENSG00000008128,2.2946941466664748,2.263417547763099,-0.03127659890337586,0.8243385797667878,0.9989197606829566
ENSG00000268575,3.2930210834495655,3.5701886094485196,0.2771675259989541,0.3198269912842578,0.9034298627891024
ENSG00000227775,0.26900943030051594,0.4124771558457518,0.14346772554523585,0.22754506996552415,0.9034298627891024
ENSG00000215790,3.35256560010397,3.7230060210160727,0.37044042091210283,0.10595573442451707,0.9034298627891024
ENSG00000008130,6.1970912398560785,6.196259298499058,-0.0008319413570205825,0.9851590080028958,0.9995563239457352
ENSG00000078369,9.142443723893331,9.107627041026813,-0.03481668286651818,0.43980943876415035,0.9398011295915625
ENSG00000231050,0.3500476081781885,0.32872547823299286,-0.02132212994519561,0.7099703907828443,0.9824829314424892
ENSG00000169885,0.36475614653579097,0.3306995514183696,-0.03405659511742137,0.638473518852987,0.9776023228735756
ENSG00000178821,0.16716175583027226,0.13249178722274313,-0.034669968607529134,0.4461913798709477,0.9411851165622099
ENSG00000142609,0.0,0.0,0.0,,
