gene,mean_early_0h,mean_late_168hplus,log2_fc,pval,pval_adj
ENSG00000223972,0.05556663831042207,0.04987739520390005,-0.005689243106522024,0.8114820692218979,0.8703269975176912
ENSG00000227232,2.649494429380051,2.8531524595858717,0.20365803020582085,0.18716955005868957,0.3493644129833918
ENSG00000278267,0.24251311813307144,0.36692424678659213,0.12441112865352069,0.025860476136986252,0.0750070950281478
ENSG00000243485,0.018491156948870904,0.013328556021471122,-0.005162600927399782,0.8016649078260376,0.8623570018813775
ENSG00000284332,0.0,0.0,0.0,,
ENSG00000237613,0.0,0.0,0.0,,
ENSG00000268020,0.0,0.0,0.0,,
ENSG00000240361,0.0,0.00211594238623108,0.00211594238623108,0.327715806142859,0.4579857353953146
ENSG00000186092,0.0,0.0,0.0,,
ENSG00000238009,0.04044196111612308,0.02815531235898239,-0.012286648757140691,0.4798747867346259,0.6007871252808047
ENSG00000239945,0.0,0.0,0.0,,
ENSG00000233750,0.0,0.005931837776511629,0.005931837776511629,0.18410411307695307,0.34554070057064235
ENSG00000268903,0.7747817110218493,0.8625325606458528,0.08775084962400348,0.5807075674424061,0.6920024949883403
ENSG00000269981,0.5603155699084778,0.7831821384811907,0.22286656857271292,0.07606787216032755,0.18234273895724945
ENSG00000239906,0.007182600256160555,0.0020028195752619543,-0.0051797806808986015,0.33938231110753947,0.4586783777669071
ENSG00000241860,0.17708370879637814,0.48864289547901024,0.3115591866826321,7.643470862707868e-05,0.00045702184932743873
ENSG00000222623,0.0,0.0,0.0,,
ENSG00000241599,0.0,0.003929018201249675,0.003929018201249675,0.3277158061428588,0.4579857353953146
ENSG00000279928,0.23022628703611359,0.13237865628706655,-0.09784763074904704,0.15148463777181775,0.3101326858370315
ENSG00000279457,3.2857321258875776,3.4345349555065616,0.14880282961898406,0.061522918859651186,0.15301290530932246
ENSG00000273874,0.0,0.00665136102048306,0.00665136102048306,0.18883318605662527,0.35108507435192415
ENSG00000228463,0.20689863672914702,0.17224714719397172,-0.0346514895351753,0.5472958386457589,0.6622588723995748
ENSG00000286448,0.0,0.0019252988628878098,0.0019252988628878098,0.32771580614285867,0.4579857353953146
ENSG00000236679,0.003311681648735996,0.010412389683586782,0.007100708034850786,0.2621692838509349,0.4488717505933578
ENSG00000236601,0.0,0.0,0.0,,
ENSG00000237094,0.7442470510045683,0.9444330440250849,0.20018599302051654,0.02959379094994753,0.08404991806015959
ENSG00000269732,0.0,0.0,0.0,,
ENSG00000284733,0.0,0.0,0.0,,
ENSG00000233653,0.0,0.0,0.0,,
ENSG00000250575,0.008333683177454667,0.0077410466060832605,-0.0005926365713714065,0.9303941116281043,0.9541297573164524
ENSG00000278757,0.0,0.0,0.0,,
ENSG00000230021,0.3439815099984778,0.3370259871034849,-0.006955522894992905,0.8963849354880304,0.9309709133880827
ENSG00000235146,0.0,0.0,0.0,,
ENSG00000225972,1.1191926592280106,1.499038869288585,0.3798462100605744,0.001150354481890021,0.005024002282985793
ENSG00000225630,5.276769361990923,6.1854137383467505,0.9086443763558272,1.6237672339013061e-16,3.403642819601108e-14
ENSG00000237973,4.820600707633291,5.820238488923959,0.9996377812906676,1.967608144559354e-08,2.968661457119608e-07
ENSG00000278791,0.014066272848980564,0.016966844337508516,0.002900571488527952,0.7990658589341935,0.860515813521895
ENSG00000229344,3.39502082866489,4.160379253256989,0.7653584245920992,4.308881810262157e-05,0.0002743496240371273
ENSG00000240409,0.016859900034537512,0.01946706998432938,0.002607169949791866,0.8873154875828428,0.9248627372540376
ENSG00000248527,7.60606069255049,8.342674196686225,0.7366135041357351,2.7777879711048352e-08,4.0113962433434007e-07
ENSG00000198744,2.5327138938173226,3.4786773404111067,0.9459634465937841,5.997839015902668e-09,1.0358387833024608e-07
ENSG00000268663,0.0,0.0,0.0,,
ENSG00000284662,0.0,0.0,0.0,,
ENSG00000229376,0.0,0.0,0.0,,
ENSG00000228327,2.587572808935496,2.541188733317839,-0.04638407561765723,0.613917368254038,0.7203074870826212
ENSG00000223181,0.0,0.0,0.0,,
ENSG00000229905,0.0,0.0019742230035938555,0.0019742230035938555,0.3277158061428588,0.4579857353953146
ENSG00000237491,1.3208877193471065,1.2216240761022188,-0.09926364324488768,0.3203084161079395,0.4579857353953146
ENSG00000285268,0.0,0.0,0.0,,
ENSG00000230092,0.9045949970301876,0.526244743665048,-0.3783502533651396,5.740487884006692e-05,0.00035404721736979525
ENSG00000177757,0.01142397728408485,0.022276871778691653,0.010852894494606804,0.4495256587656362,0.5714988996158304
ENSG00000228794,3.685604302467119,3.1523646346283627,-0.5332396678387563,8.605630397294485e-09,1.4362948869640618e-07
ENSG00000225880,1.2133795924361366,0.8550046995442749,-0.35837489289186164,9.671043410800815e-06,7.326257657008331e-05
ENSG00000288531,0.009673332959603763,0.013547230016620102,0.003873897057016339,0.7588061715108301,0.8305233090489377
ENSG00000230368,0.0038919188879927165,0.008297628288696285,0.004405709400703568,0.5725599537616439,0.6847158441146648
ENSG00000234711,0.0,0.0,0.0,,
ENSG00000283040,0.0,0.0,0.0,,
ENSG00000272438,0.003932763062523901,0.0018216271120745518,-0.0021111359504493487,0.6328495112663295,0.7364996683324316
ENSG00000230699,0.011407358137169374,0.004606960586567908,-0.006800397550601466,0.32793283740451107,0.4579857353953146
ENSG00000241180,0.0,0.0,0.0,,
ENSG00000223764,0.0,0.031249739710771857,0.031249739710771857,0.02652350986286283,0.07662732781832532
ENSG00000187634,0.04328957825574053,0.14431398551076371,0.10102440725502318,0.01590681072300298,0.04937855603214699
ENSG00000188976,6.767422031032658,6.222001781307046,-0.5454202497256118,5.094233458257253e-12,2.3040539859667275e-10
ENSG00000187961,4.7620279778076595,4.930661528046975,0.16863355023931526,0.04315118542426053,0.1146890311356399
ENSG00000187583,1.2723219703978843,2.4363345262193454,1.1640125558214611,9.988237444732924e-06,7.5449813386434e-05
ENSG00000187642,0.0034478323356530345,0.021629115548836033,0.018181283213183,0.13038187005478946,0.2754859227549059
ENSG00000272512,0.021836375336172057,0.022320730604742666,0.000484355268570609,0.9731830446815299,0.9827744646504497
ENSG00000188290,0.17065634211299674,0.7005839436957966,0.5299276015827998,0.001993539971555021,0.008137917148489722
ENSG00000187608,5.383666003533752,5.284943714643392,-0.09872228889036005,0.496614607577312,0.6164806825343039
ENSG00000231702,0.16931503442263707,0.30308667986628135,0.13377164544364428,0.003218855805517616,0.012372506178493505
ENSG00000224969,0.14528932919258383,0.0781767946540849,-0.06711253453849893,0.06000198065687817,0.14985253543351604
ENSG00000188157,4.044207469088621,6.2457907291047166,2.201583260016095,1.0304856690638824e-08,1.6831548175556168e-07
ENSG00000242590,0.0,0.0,0.0,,
ENSG00000217801,4.605161038603613,5.626547824606175,1.0213867860025623,0.000653908601379428,0.0030594028911808562
ENSG00000273443,0.45385495723799774,1.1923874600718847,0.7385325028338869,7.784601006474677e-05,0.0004639948989706255
ENSG00000237330,0.007402972726400149,0.0022041688919731566,-0.005198803834426993,0.3562969314499793,0.47635663191839445
ENSG00000131591,4.584785528849456,4.0760433049089695,-0.5087422239404864,1.1429750758274312e-09,2.4312529221292327e-08
ENSG00000285812,0.015362178289606204,0.026338282242221917,0.010976103952615713,0.4635650772720339,0.5851933195321811
ENSG00000223823,0.0034702096638762493,0.0017828137678601672,-0.001687395896016082,0.6708037999074863,0.766027341561499
ENSG00000207730,0.003709109955174363,0.0,-0.003709109955174363,0.33880069619620157,0.4579857353953146
ENSG00000207607,0.0038919188879927165,0.007299784200041158,0.0034078653120484417,0.6830829805067988,0.7748857779212547
ENSG00000198976,0.0034702096638762493,0.0063006897139784275,0.0028304800501021783,0.6350769939075451,0.7384002857248081
ENSG00000272141,0.014045129817781311,0.03704789045032554,0.02300276063254423,0.14829853089229886,0.30517917046194076
ENSG00000205231,0.006855049630974314,0.013533071799387475,0.0066780221684131615,0.3049070348470959,0.4579857353953146
ENSG00000162571,0.06985328177020451,0.038197828332446476,-0.03165545343775804,0.2138804111865162,0.3840053121587471
ENSG00000186891,4.474298361175173,6.597066352045453,2.1227679908702797,6.7151192369816004e-06,5.3159354915460076e-05
ENSG00000186827,3.4762922205874265,5.269730588336254,1.793438367748828,0.0006406771112727099,0.0030036272683676714
ENSG00000078808,7.566294594860834,7.685530074143087,0.11923547928225275,0.009094826400562691,0.03062887915127237
ENSG00000176022,4.997560265782325,4.28650288308904,-0.7110573826932853,2.811518731838429e-07,3.1362160129901402e-06
ENSG00000184163,0.9166478505850862,2.517641171654167,1.600993321069081,1.3854310364538262e-05,0.00010050948227236917
ENSG00000260179,0.5707539914328785,0.943140989167055,0.3723869977341765,0.0009121702939581962,0.004102753954814125
ENSG00000160087,6.184748524773474,5.800136088842357,-0.3846124359311176,1.107993552984299e-14,1.1905240997957783e-12
ENSG00000230415,0.9091314385773189,1.4435912310990024,0.5344597925216835,2.904275361800544e-06,2.508415626411958e-05
ENSG00000162572,2.7824181247233235,3.6268582957029225,0.844440170979599,1.1821396244875562e-08,1.9011789203530453e-07
ENSG00000131584,6.874866554366867,6.247820992358871,-0.6270455620079964,1.4123614388679032e-10,3.912880931263579e-09
ENSG00000278073,0.0,0.0,0.0,,
ENSG00000169972,3.8558550545338495,3.826359991052467,-0.029495063481382644,0.83757667543075,0.8899112274420038
ENSG00000127054,6.801276872982638,6.873082817765223,0.07180594478258495,0.15970175258666186,0.32153328422776595
ENSG00000283712,0.0,0.0,0.0,,
ENSG00000240731,1.446318636199545,1.8250568971059895,0.37873826090644447,4.2974971766670156e-05,0.00027371242831716414
ENSG00000224051,4.973761702212839,4.70895691416053,-0.26480478805230856,0.00456360616186825,0.01681315230944622
ENSG00000169962,1.453447701342661,1.4697112453824595,0.01626354403979846,0.8691790639167031,0.9119120382411645
ENSG00000107404,5.784000542916232,5.671892591543074,-0.11210795137315799,0.047388810644680666,0.1236213619415961
